Code,Climate Name
Af,Tropical rainforest
Am,Tropical monsoon
Aw,Tropical wet savanna
As,Tropical dry savanna
BWh ,Hot desert
BWk,Cold desert
BWn,Desert climate with frequent fog
BSh,Hot semi-arid
BSk,Cold semi-arid
BSn,Semi-arid climate with frequent fog
Cfa,Humid subtropical
Cfb,Temperate oceanic
Cfc,Subpolar oceanic
Cwa,Monsoon-influenced humid subtropical
Cwb,Monsoon-influenced temperate oceanic
Cwc,Monsoon-influenced subpolar oceanic
Csa,Hot-summer Mediterranean
Csb,Warm-summer Mediterranean
Csc,Cool-summer Mediterranean
Dfa,Hot-summer humid continental
Dfb,Warm-summer humid continental
Dfd,Extremely cold subarctic
Dwa,Monsoon-influenced hot-summer humid continental
Dwb,Monsoon-influenced warm-summer humid continental
Dwc,Monsoon-influenced subarctic
Dwd,Monsoon-influenced extremely cold subarctic
Dsa,Mediterranean-influenced hot-summer humid continental
Dsb,Mediterranean-influenced warm-summer humid continental