,Publication (Citation),Data contributor,Year,Season,Koppen climate classification,Climate,City,Country,Building type,Cooling startegy_building level,Cooling startegy_operation mode for MM buildings,Heating strategy_building level,Age,Sex,Thermal sensation,Thermal sensation acceptability,Thermal preference,Air movement acceptability,Air movement preference,Thermal comfort,PMV,PPD,SET,Clo,Met,activity_10,activity_20,activity_30,activity_60,Air temperature (°C),Air temperature (°F),Ta_h (°C),Ta_h (°F),Ta_m (°C),Ta_m (°F),Ta_l (°C),Ta_l (°F),Operative temperature (°C),Operative temperature (°F),Radiant temperature (°C),Radiant temperature (°F),Globe temperature (°C),Globe temperature (°F),Tg_h (°C),Tg_h (°F),Tg_m (°C),Tg_m (°F),Tg_l (°C),Tg_l (°F),Relative humidity (%),Humidity preference,Humidity sensation,Air velocity (m/s),Air velocity (fpm),Velocity_h (m/s),Velocity_h (fpm),Velocity_m (m/s),Velocity_m (fpm),Velocity_l (m/s),Velocity_l (fpm),Subject´s height (cm),Subject´s weight (kg),Blind (curtain),Fan,Window,Door,Heater,Outdoor monthly air temperature (°C),Outdoor monthly air temperature (°F),Database
1,"Kim, H. 2012. Methodology for rating a building's overall performance based on the ASHRAE/CIBSE/USGBC Performance Measurement Protocols for Commercial Buildings. Ph.D. dissertation, Department of Architecture, Texas A&M University.",Hyojin Kim,2011,Summer,Cfa,Humid subtropical,Texas,USA,Office,Air Conditioned,NA,NA,28,NA,-1.3,1,cooler,NA,more,4.5,-1.1,32,22.2,0.57,1,NA,NA,NA,NA,24.3,75.8,24.3,75.8,24.4,76,24.4,76,NA,NA,NA,NA,24.2,75.5,24.2,75.5,24.4,75.9,24.4,76,36.8,NA,NA,0.27,15.32,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,32.8,91,Database 2
2,"Kim, H. 2012. Methodology for rating a building's overall performance based on the ASHRAE/CIBSE/USGBC Performance Measurement Protocols for Commercial Buildings. Ph.D. dissertation, Department of Architecture, Texas A&M University.",Hyojin Kim,2011,Summer,Cfa,Humid subtropical,Texas,USA,Office,Air Conditioned,NA,NA,30,NA,-1.4,1,cooler,NA,more,5.2,-0.1,5,24.45,0.57,1.1,NA,NA,NA,NA,25.7,78.2,25.7,78.2,25.4,77.6,25.5,77.9,NA,NA,NA,NA,24.8,76.7,24.8,76.7,24.8,76.6,24.8,76.7,33.1,NA,NA,0.09,18.65,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,32.8,91,Database 2
3,"Kim, H. 2012. Methodology for rating a building's overall performance based on the ASHRAE/CIBSE/USGBC Performance Measurement Protocols for Commercial Buildings. Ph.D. dissertation, Department of Architecture, Texas A&M University.",Hyojin Kim,2011,Summer,Cfa,Humid subtropical,Texas,USA,Office,Air Conditioned,NA,NA,29,NA,0.6,0,cooler,NA,more,2.5,-0.4,8,23.74,0.57,1.1,NA,NA,NA,NA,24.6,76.3,24.6,76.3,24.5,76.1,24.6,76.2,NA,NA,NA,NA,24,75.1,24,75.1,24.2,75.6,24.2,75.6,34.9,NA,NA,0.06,12.48,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,32.8,91,Database 2
4,"Kim, H. 2012. Methodology for rating a building's overall performance based on the ASHRAE/CIBSE/USGBC Performance Measurement Protocols for Commercial Buildings. Ph.D. dissertation, Department of Architecture, Texas A&M University.",Hyojin Kim,2011,Summer,Cfa,Humid subtropical,Texas,USA,Office,Air Conditioned,NA,NA,26,NA,0.5,0,cooler,NA,more,2.7,-0.3,7,24.49,0.57,1,NA,NA,NA,NA,26.4,79.5,26.4,79.5,26.9,80.4,27.9,82.2,NA,NA,NA,NA,25.5,78,25.5,78,25.1,77.2,25.2,77.3,31.7,NA,NA,0.13,26.46,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,32.8,91,Database 2
5,"Kim, H. 2012. Methodology for rating a building's overall performance based on the ASHRAE/CIBSE/USGBC Performance Measurement Protocols for Commercial Buildings. Ph.D. dissertation, Department of Architecture, Texas A&M University.",Hyojin Kim,2011,Summer,Cfa,Humid subtropical,Texas,USA,Office,Air Conditioned,NA,NA,37,NA,1.6,0,cooler,NA,more,2.2,-0.4,9,23.9,0.57,1,NA,NA,NA,NA,25,77,25,77,25,77.1,25.1,77.1,NA,NA,NA,NA,24.7,76.4,24.7,76.4,24.6,76.3,24.7,76.4,33.3,NA,NA,0.07,14.71,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,32.8,91,Database 2
6,"Kim, H. 2012. Methodology for rating a building's overall performance based on the ASHRAE/CIBSE/USGBC Performance Measurement Protocols for Commercial Buildings. Ph.D. dissertation, Department of Architecture, Texas A&M University.",Hyojin Kim,2011,Summer,Cfa,Humid subtropical,Texas,USA,Office,Air Conditioned,NA,NA,39,NA,1.2,0,cooler,NA,more,2.3,0,5,24.66,0.57,1.1,NA,NA,NA,NA,26.2,79.2,26.2,79.2,26.7,80.1,27.6,81.7,NA,NA,NA,NA,25.1,77.2,25.1,77.2,25,76.9,25,77.1,30.8,NA,NA,0.08,16.07,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,32.8,91,Database 2
7,"Kim, H. 2012. Methodology for rating a building's overall performance based on the ASHRAE/CIBSE/USGBC Performance Measurement Protocols for Commercial Buildings. Ph.D. dissertation, Department of Architecture, Texas A&M University.",Hyojin Kim,2011,Summer,Cfa,Humid subtropical,Texas,USA,Office,Air Conditioned,NA,NA,28,NA,-0.2,1,cooler,NA,more,2.8,-0.6,11,23.41,0.57,1,NA,NA,NA,NA,25.1,77.2,25.1,77.2,25.1,77.2,25,77,NA,NA,NA,NA,24.2,75.6,24.2,75.6,24.3,75.8,24.3,75.8,34.2,NA,NA,0.07,14.04,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,32.8,91,Database 2
8,"Kim, H. 2012. Methodology for rating a building's overall performance based on the ASHRAE/CIBSE/USGBC Performance Measurement Protocols for Commercial Buildings. Ph.D. dissertation, Department of Architecture, Texas A&M University.",Hyojin Kim,2011,Summer,Cfa,Humid subtropical,Texas,USA,Office,Air Conditioned,NA,NA,26,NA,0,1,cooler,NA,more,4,-0.7,16,23.22,0.54,1.1,NA,NA,NA,NA,24.3,75.7,24.3,75.7,24,75.2,24.2,75.5,NA,NA,NA,NA,24,75.3,24,75.3,23.9,75,24,75.2,35.3,NA,NA,0.13,26.22,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,31.7,89,Database 2
9,"Kim, H. 2012. Methodology for rating a building's overall performance based on the ASHRAE/CIBSE/USGBC Performance Measurement Protocols for Commercial Buildings. Ph.D. dissertation, Department of Architecture, Texas A&M University.",Hyojin Kim,2011,Summer,Cfa,Humid subtropical,Texas,USA,Office,Air Conditioned,NA,NA,27,NA,0,1,cooler,NA,more,4,NA,NA,NA,0.54,NA,NA,NA,NA,NA,24.5,76.1,24.5,76.1,24,75.1,24.2,75.6,NA,NA,NA,NA,24,75.2,24,75.2,23.7,74.7,23.8,74.9,35,NA,NA,0.12,22.7,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,31.7,89,Database 2
10,"Kim, H. 2012. Methodology for rating a building's overall performance based on the ASHRAE/CIBSE/USGBC Performance Measurement Protocols for Commercial Buildings. Ph.D. dissertation, Department of Architecture, Texas A&M University.",Hyojin Kim,2011,Summer,Cfa,Humid subtropical,Texas,USA,Office,Air Conditioned,NA,NA,29,NA,2,0,cooler,NA,more,3,-0.7,14,23.36,0.61,1.1,NA,NA,NA,NA,24.3,75.7,24.3,75.7,24,75.3,24.2,75.6,NA,NA,NA,NA,24.1,75.4,24.1,75.4,24,75.2,24.1,75.3,35,NA,NA,0.17,34.02,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,31.7,89,Database 2
11,"Kim, H. 2012. Methodology for rating a building's overall performance based on the ASHRAE/CIBSE/USGBC Performance Measurement Protocols for Commercial Buildings. Ph.D. dissertation, Department of Architecture, Texas A&M University.",Hyojin Kim,2011,Summer,Cfa,Humid subtropical,Texas,USA,Office,Air Conditioned,NA,NA,22,NA,2,0,cooler,NA,more,3,-0.6,13,23.55,0.61,1.1,NA,NA,NA,NA,24.5,76,24.5,76,23.9,75.1,24.2,75.6,NA,NA,NA,NA,24,75.2,24,75.2,23.8,74.8,23.9,74.9,34.4,NA,NA,0.14,26.77,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,31.7,89,Database 2
12,"Kim, H. 2012. Methodology for rating a building's overall performance based on the ASHRAE/CIBSE/USGBC Performance Measurement Protocols for Commercial Buildings. Ph.D. dissertation, Department of Architecture, Texas A&M University.",Hyojin Kim,2011,Summer,Cfa,Humid subtropical,Texas,USA,Office,Air Conditioned,NA,NA,31,NA,2,0,cooler,NA,more,3,-0.5,11,23.76,0.57,1.1,NA,NA,NA,NA,24.4,76,24.4,76,24.3,75.7,24.4,76,NA,NA,NA,NA,24.4,75.9,24.4,75.9,24.2,75.6,24.3,75.8,34.1,NA,NA,0.13,25.38,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,31.7,89,Database 2
13,"Kim, H. 2012. Methodology for rating a building's overall performance based on the ASHRAE/CIBSE/USGBC Performance Measurement Protocols for Commercial Buildings. Ph.D. dissertation, Department of Architecture, Texas A&M University.",Hyojin Kim,2011,Summer,Cfa,Humid subtropical,Texas,USA,Office,Air Conditioned,NA,NA,34,NA,2,0,cooler,NA,more,3,-0.1,5,24.88,0.57,1.3,NA,NA,NA,NA,24.5,76,24.5,76,24.1,75.3,24.3,75.8,NA,NA,NA,NA,24.1,75.3,24.1,75.3,23.9,75,24,75.2,34.1,NA,NA,0.12,22.68,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,31.7,89,Database 2
14,"Kim, H. 2012. Methodology for rating a building's overall performance based on the ASHRAE/CIBSE/USGBC Performance Measurement Protocols for Commercial Buildings. Ph.D. dissertation, Department of Architecture, Texas A&M University.",Hyojin Kim,2011,Summer,Cfa,Humid subtropical,Texas,USA,Office,Air Conditioned,NA,NA,29,NA,2,0,cooler,NA,more,3,-1,25,22.41,0.54,1.1,NA,NA,NA,NA,24.1,75.4,24.1,75.4,23.9,75.1,24.1,75.3,NA,NA,NA,NA,24,75.2,24,75.2,23.9,75.1,24,75.2,34.8,NA,NA,0.21,41.98,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,31.7,89,Database 2
15,"Kim, H. 2012. Methodology for rating a building's overall performance based on the ASHRAE/CIBSE/USGBC Performance Measurement Protocols for Commercial Buildings. Ph.D. dissertation, Department of Architecture, Texas A&M University.",Hyojin Kim,2011,Summer,Cfa,Humid subtropical,Texas,USA,Office,Air Conditioned,NA,NA,32,NA,-1,1,no change,NA,no change,5,-0.4,8,23.73,0.57,1.1,NA,NA,NA,NA,24.2,75.5,24.2,75.5,23.9,75.1,24,75.3,NA,NA,NA,NA,23.9,75,23.9,75,23.7,74.7,23.8,74.8,38.7,NA,NA,0.09,18.07,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,32.8,91,Database 2
16,"Kim, H. 2012. Methodology for rating a building's overall performance based on the ASHRAE/CIBSE/USGBC Performance Measurement Protocols for Commercial Buildings. Ph.D. dissertation, Department of Architecture, Texas A&M University.",Hyojin Kim,2011,Summer,Cfa,Humid subtropical,Texas,USA,Office,Air Conditioned,NA,NA,30,NA,-2,1,warmer,NA,no change,4.3,-0.4,8,23.8,0.61,1.1,NA,NA,NA,NA,23.8,74.8,23.8,74.8,23.6,74.5,23.7,74.7,NA,NA,NA,NA,23.6,74.5,23.6,74.5,23.5,74.3,23.6,74.4,40,NA,NA,0.09,17.63,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,32.8,91,Database 2
17,"Kim, H. 2012. Methodology for rating a building's overall performance based on the ASHRAE/CIBSE/USGBC Performance Measurement Protocols for Commercial Buildings. Ph.D. dissertation, Department of Architecture, Texas A&M University.",Hyojin Kim,2011,Summer,Cfa,Humid subtropical,Texas,USA,Office,Air Conditioned,NA,NA,30,NA,-1,1,no change,NA,no change,5,NA,NA,NA,0.61,NA,NA,NA,NA,NA,24.3,75.7,24.3,75.7,24,75.2,24.1,75.5,NA,NA,NA,NA,24,75.2,24,75.2,23.8,74.9,23.9,75,38.3,NA,NA,0.1,19.32,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,32.8,91,Database 2
18,"Kim, H. 2012. Methodology for rating a building's overall performance based on the ASHRAE/CIBSE/USGBC Performance Measurement Protocols for Commercial Buildings. Ph.D. dissertation, Department of Architecture, Texas A&M University.",Hyojin Kim,2011,Summer,Cfa,Humid subtropical,Texas,USA,Office,Air Conditioned,NA,NA,27,NA,-2.5,1,warmer,NA,no change,2.4,NA,NA,NA,0.57,NA,NA,NA,NA,NA,23.5,74.3,23.5,74.3,23.3,73.9,23.4,74.2,NA,NA,NA,NA,23.3,73.9,23.3,73.9,23.2,73.7,23.2,73.8,41.2,NA,NA,0.09,18.6,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,32.8,91,Database 2
19,"Kim, H. 2012. Methodology for rating a building's overall performance based on the ASHRAE/CIBSE/USGBC Performance Measurement Protocols for Commercial Buildings. Ph.D. dissertation, Department of Architecture, Texas A&M University.",Hyojin Kim,2011,Summer,Cfa,Humid subtropical,Texas,USA,Office,Air Conditioned,NA,NA,24,NA,0,1,cooler,NA,no change,4.2,NA,NA,NA,0.57,NA,NA,NA,NA,NA,23.9,75.1,23.9,75.1,23.7,74.7,23.8,74.9,NA,NA,NA,NA,23.7,74.7,23.7,74.7,23.6,74.4,23.6,74.5,39.4,NA,NA,0.1,19.22,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,32.8,91,Database 2
20,"Kim, H. 2012. Methodology for rating a building's overall performance based on the ASHRAE/CIBSE/USGBC Performance Measurement Protocols for Commercial Buildings. Ph.D. dissertation, Department of Architecture, Texas A&M University.",Hyojin Kim,2011,Summer,Cfa,Humid subtropical,Texas,USA,Office,Air Conditioned,NA,NA,NA,NA,0,1,cooler,NA,more,4.2,NA,NA,NA,0.57,NA,NA,NA,NA,NA,24.4,75.9,24.4,75.9,24.1,75.5,24.3,75.7,NA,NA,NA,NA,24.1,75.4,24.1,75.4,24,75.1,24,75.2,37.9,NA,NA,0.1,19.49,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,32.8,91,Database 2
21,"Kim, H. 2012. Methodology for rating a building's overall performance based on the ASHRAE/CIBSE/USGBC Performance Measurement Protocols for Commercial Buildings. Ph.D. dissertation, Department of Architecture, Texas A&M University.",Hyojin Kim,2011,Summer,Cfa,Humid subtropical,Texas,USA,Office,Air Conditioned,NA,NA,34,NA,-2,0,warmer,NA,less,2,-0.3,6,24.31,0.79,1.1,NA,NA,NA,NA,23.8,74.9,23.8,74.9,23.9,75,23.9,75,NA,NA,NA,NA,24.2,75.5,24.2,75.5,24.1,75.4,24.1,75.4,43.8,NA,NA,0.32,63.64,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,32.8,91,Database 2
22,"Kim, H. 2012. Methodology for rating a building's overall performance based on the ASHRAE/CIBSE/USGBC Performance Measurement Protocols for Commercial Buildings. Ph.D. dissertation, Department of Architecture, Texas A&M University.",Hyojin Kim,2011,Summer,Cfa,Humid subtropical,Texas,USA,Office,Air Conditioned,NA,NA,51,NA,-0.5,1,warmer,NA,no change,4,-1.2,38,22.03,0.54,1,NA,NA,NA,NA,23.7,74.7,23.7,74.7,23.8,74.8,23.8,74.9,NA,NA,NA,NA,24.1,75.4,24.1,75.4,24.1,75.4,24.1,75.4,43.7,NA,NA,0.31,60.34,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,32.8,91,Database 2
23,"Kim, H. 2012. Methodology for rating a building's overall performance based on the ASHRAE/CIBSE/USGBC Performance Measurement Protocols for Commercial Buildings. Ph.D. dissertation, Department of Architecture, Texas A&M University.",Hyojin Kim,2011,Summer,Cfa,Humid subtropical,Texas,USA,Office,Air Conditioned,NA,NA,30,NA,-0.5,1,no change,NA,less,4,-0.3,7,24.64,0.79,1,NA,NA,NA,NA,23.9,75.1,23.9,75.1,24,75.2,24,75.3,NA,NA,NA,NA,24.6,76.2,24.6,76.2,24.4,75.9,24.4,75.8,40.4,NA,NA,0.24,47.97,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,32.8,91,Database 2
24,"Kim, H. 2012. Methodology for rating a building's overall performance based on the ASHRAE/CIBSE/USGBC Performance Measurement Protocols for Commercial Buildings. Ph.D. dissertation, Department of Architecture, Texas A&M University.",Hyojin Kim,2011,Summer,Cfa,Humid subtropical,Texas,USA,Office,Air Conditioned,NA,NA,50,NA,-1,0,warmer,NA,no change,2,0.3,7,25.38,0.57,1.7,NA,NA,NA,NA,23.8,74.9,23.8,74.9,23.9,75,23.9,75,NA,NA,NA,NA,24.1,75.4,24.1,75.4,24.1,75.4,24.1,75.4,43.6,NA,NA,0.35,69.28,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,32.8,91,Database 2
25,"Kim, H. 2012. Methodology for rating a building's overall performance based on the ASHRAE/CIBSE/USGBC Performance Measurement Protocols for Commercial Buildings. Ph.D. dissertation, Department of Architecture, Texas A&M University.",Hyojin Kim,2011,Summer,Cfa,Humid subtropical,Texas,USA,Office,Air Conditioned,NA,NA,46,NA,0,1,no change,NA,less,4.5,-1.2,37,22.05,0.57,1,NA,NA,NA,NA,23.8,74.9,23.8,74.9,23.9,75.1,23.9,75,NA,NA,NA,NA,24.1,75.5,24.1,75.5,24.1,75.4,24.1,75.4,35.8,NA,NA,0.32,63.83,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,32.8,91,Database 2
26,"Kim, H. 2012. Methodology for rating a building's overall performance based on the ASHRAE/CIBSE/USGBC Performance Measurement Protocols for Commercial Buildings. Ph.D. dissertation, Department of Architecture, Texas A&M University.",Hyojin Kim,2011,Summer,Cfa,Humid subtropical,Texas,USA,Office,Air Conditioned,NA,NA,38,NA,-1,0,warmer,NA,less,2,-1.1,32,22.2,0.61,1,NA,NA,NA,NA,23.8,74.8,23.8,74.8,23.8,74.9,23.8,74.9,NA,NA,NA,NA,24,75.3,24,75.3,24.1,75.3,24.1,75.3,42.3,NA,NA,0.36,70.42,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,32.8,91,Database 2
